SiteID,path
PRA,PRA
BelowJD1,PRA.BelowJD1
JD1,PRA.JD1
TMF,PRA.TMF
ICH,PRA.ICH
PRH,PRA.PRH
RSH,PRA.RSH
PRO,PRA.PRO
PRV,PRA.PRV
HST,PRA.PRV.HST
MDR,PRA.PRV.MDR
RIA,PRA.RIA
CLK,PRA.RIA.CLK
LWE,PRA.RIA.LWE
MCL,PRA.RIA.LWE.MCL
CHM,PRA.RIA.LWE.CHM
PES,PRA.RIA.LWE.PES
PEU,PRA.RIA.LWE.PES.PEU
ICL,PRA.RIA.LWE.ICL
LNF,PRA.RIA.LWE.ICL.LNF
ICM,PRA.RIA.LWE.ICL.ICM
ICU,PRA.RIA.LWE.ICL.ICM.ICU
TUM,PRA.RIA.LWE.TUM
CHW,PRA.RIA.LWE.TUM.CHW
CHL,PRA.RIA.LWE.TUM.CHL
CHU,PRA.RIA.LWE.TUM.CHL.CHU
UWE,PRA.RIA.LWE.TUM.UWE
WTL,PRA.RIA.LWE.TUM.UWE.WTL
LWN,PRA.RIA.LWE.TUM.UWE.LWN
NAL,PRA.RIA.LWE.TUM.UWE.NAL
NAU,PRA.RIA.LWE.TUM.UWE.NAL.NAU
RRF,PRA.RIA.RRF
EBO,PRA.RIA.RRF.EBO
ENL,PRA.RIA.RRF.ENL
RCT,PRA.RIA.RRF.ENL.RCT
EHL,PRA.RIA.RRF.ENL.EHL
MAD,PRA.RIA.RRF.ENL.MAD
ENA,PRA.RIA.RRF.ENL.ENA
ENM,PRA.RIA.RRF.ENL.ENA.ENM
ENS,PRA.RIA.RRF.ENL.ENA.ENM.ENS
ENF,PRA.RIA.RRF.ENL.ENA.ENM.ENS.ENF
WVT,PRA.RIA.RRF.WVT
WEA,PRA.RIA.RRF.WEA
LMR,PRA.RIA.RRF.WEA.LMR
GLC,PRA.RIA.RRF.WEA.LMR.GLC
LBC,PRA.RIA.RRF.WEA.LMR.LBC
MRC,PRA.RIA.RRF.WEA.LMR.MRC
BVC,PRA.RIA.RRF.WEA.LMR.MRC.BVC
TWR,PRA.RIA.RRF.WEA.LMR.MRC.TWR
TWISPW,PRA.RIA.RRF.WEA.LMR.MRC.TWR.TWISPW
SCP,PRA.RIA.RRF.WEA.LMR.MRC.SCP
MSH,PRA.RIA.RRF.WEA.LMR.MRC.MSH
METH,PRA.RIA.RRF.WEA.LMR.MRC.MSH.METH
MRW,PRA.RIA.RRF.WEA.LMR.MRC.MRW
WFC,PRA.RIA.RRF.WEA.LMR.MRC.MRW.WFC
CRW,PRA.RIA.RRF.WEA.LMR.MRC.CRW
CRU,PRA.RIA.RRF.WEA.LMR.MRC.CRW.CRU
FST,PRA.RIA.RRF.WEA.FST
OKL,PRA.RIA.RRF.WEA.OKL
LLC,PRA.RIA.RRF.WEA.OKL.LLC
SA1,PRA.RIA.RRF.WEA.OKL.SA1
SA0,PRA.RIA.RRF.WEA.OKL.SA1.SA0
JOH,PRA.RIA.RRF.WEA.OKL.JOH
AEN,PRA.RIA.RRF.WEA.OKL.AEN
OMK,PRA.RIA.RRF.WEA.OKL.OMK
OBF,PRA.RIA.RRF.WEA.OKL.OMK.OBF
WAN,PRA.RIA.RRF.WEA.OKL.WAN
TNK,PRA.RIA.RRF.WEA.OKL.TNK
BPC,PRA.RIA.RRF.WEA.OKL.BPC
ANT,PRA.RIA.RRF.WEA.OKL.ANT
WHS,PRA.RIA.RRF.WEA.OKL.WHS
ZSL,PRA.RIA.RRF.WEA.OKL.ZSL
TON,PRA.RIA.RRF.WEA.OKL.ZSL.TON
NMC,PRA.RIA.RRF.WEA.OKL.ZSL.NMC
OKI,PRA.RIA.RRF.WEA.OKL.ZSL.OKI
OKC,PRA.RIA.RRF.WEA.OKL.ZSL.OKC
